taxon	sequenceID	genus	major_clade	host_group_taxlevel	host_group_name	num_dupes	num_species	locus_numeric_id
alignment/AL_EFLP_ROOT/member/fasta-refseqs/Ebola-vp35-NC_002549	Ebola-vp35-NC_002549	-	-	-	-	-	-	-
alignment/AL_EFLP_ROOT/member/fasta-refseqs-eve/eflp-filo.2-cricetidae-con	eflp-filo.2-cricetidae-con	eflp-filo.2-cricetidae-con	-	-	-	7	11	2
alignment/AL_EFLP_ROOT/member/fasta-refseqs-eve/eflp-filo.3-muridae-con	eflp-filo.3-muridae-con	eflp-filo.3-muridae-con	-	-	-	3	9	3
alignment/AL_EFLP_ROOT/member/fasta-refseqs-eve/eflp-filo.5-tarsiidae	eflp-filo.5-tarsiidae	eflp-filo.5-tarsiidae	-	-	-	1	1	5
alignment/AL_EFLP_ROOT/member/fasta-refseqs-eve/eflp-filo.6-myotis-con	eflp-filo.6-myotis-con	eflp-filo.6-myotis-con	-	-	-	1	4	6
alignment/AL_EFLP_ROOT/member/fasta-refseqs-eve/eflp-filo.7-macropodidae	eflp-filo.7-macropodidae	eflp-filo.7-macropodidae	-	-	-	2	1	7
alignment/AL_EFLP_ROOT/member/fasta-refseqs-eve/eflp-filo.8-phascolarctos-con	eflp-filo.8-phascolarctos-con	eflp-filo.8-phascolarctos-con	-	-	-	4	1	8
alignment/AL_EFLP_ROOT/member/ncbi-refseqs/KX371887	KX371887	Dianlovirus	-	-	-	-	-	-
alignment/AL_EFLP_ROOT/member/ncbi-refseqs/NC_001608	NC_001608	Marburgvirus	-	-	-	-	-	-
alignment/AL_EFLP_ROOT/member/ncbi-refseqs/NC_004161	NC_004161	Ebolavirus	-	-	-	-	-	-
alignment/AL_EFLP_ROOT/member/ncbi-refseqs/NC_014372	NC_014372	Ebolavirus	-	-	-	-	-	-
alignment/AL_EFLP_ROOT/member/ncbi-refseqs/NC_016144	NC_016144	Cuevavirus	-	-	-	-	-	-
alignment/AL_EFLP_ROOT/member/ncbi-refseqs/NC_039345	NC_039345	Ebolavirus	-	-	-	-	-	-
