taxon	sequenceID	genus	major_clade	host_group_taxlevel	host_group_name	num_dupes	num_species	locus_numeric_id
alignment/AL_EFLN_ROOT/member/fasta-refseqs/Ebola-np-NC_002549	Ebola-np-NC_002549	-	-	-	-	-	-	-
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.1-bathyergidae-con	efln-filo.1-bathyergidae-con	efln-filo.1-bathyergidae-con	-	-	-	2	2	1
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.3-dipodidae-con	efln-filo.3-dipodidae-con	efln-filo.3-dipodidae-con	-	-	-	1	2	3
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.31-soricidae-con	efln-filo.31-soricidae-con	efln-filo.31-soricidae-con	-	-	-	2	1	31
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.4-cricetidae-con	efln-filo.4-cricetidae-con	efln-filo.4-cricetidae-con	-	-	-	3	10	4
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.41-vermilingua-con	efln-filo.41-vermilingua-con	efln-filo.41-vermilingua-con	-	-	-	1	2	41
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.6-ctenomys	efln-filo.6-ctenomys	efln-filo.6-ctenomys	-	-	-	1	1	6
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.61-diprotodontia-con	efln-filo.61-diprotodontia-con	efln-filo.61-diprotodontia-con	-	-	-	13	3	61
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.7-acomys-con	efln-filo.7-acomys-con	efln-filo.7-acomys-con	-	-	-	2	1	7
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.8-dipodomys-con	efln-filo.8-dipodomys-con	efln-filo.8-dipodomys-con	-	-	-	2	1	8
alignment/AL_EFLN_ROOT/member/fasta-refseqs-eve/efln-filo.9-spalacidae-con	efln-filo.9-spalacidae-con	efln-filo.9-spalacidae-con	-	-	-	5	2	9
alignment/AL_EFLN_ROOT/member/ncbi-refseqs/NC_004161	NC_004161	Ebolavirus	-	-	-	-	-	-
alignment/AL_EFLN_ROOT/member/ncbi-refseqs/NC_006432	NC_006432	Ebolavirus	-	-	-	-	-	-
alignment/AL_EFLN_ROOT/member/ncbi-refseqs/NC_014372	NC_014372	Ebolavirus	-	-	-	-	-	-
alignment/AL_EFLN_ROOT/member/ncbi-refseqs/NC_014373	NC_014373	Ebolavirus	-	-	-	-	-	-
alignment/AL_EFLN_ROOT/member/ncbi-refseqs/NC_016144	NC_016144	Cuevavirus	-	-	-	-	-	-
alignment/AL_EFLN_ROOT/member/ncbi-refseqs/NC_039345	NC_039345	Ebolavirus	-	-	-	-	-	-
