organism	target_version	target_name	scaffold	extract_start	extract_end	sequence_length	virus_genus	assigned_name	orientation	locus_structure
Castor_canadensis	CasCan_v1	GCF_001984765.1_C.can_genome_v1.0_genomic.fna	NW_017870098.1	322452	322826	375	Marburgvirus	Marburg-marburgvirus	+	glycoprotein[Marburg-marburgvirus(+)]
Castor_canadensis	CasCan_v1	GCF_001984765.1_C.can_genome_v1.0_genomic.fna	NW_017869511.1	829759	830067	309	Marburgvirus	Marburg-marburgvirus	+	glycoprotein[Marburg-marburgvirus(+)]
Crocodylus_porosus	crocgenomes_sub2	croc_sub2.assembly.fasta	scaffold-18651	5284	5583	300	Marburgvirus	Marburg-marburgvirus	-	glycoprotein[Marburg-marburgvirus(-)]
Castor_canadensis	CasCan_v1	GCF_001984765.1_C.can_genome_v1.0_genomic.fna	NW_017871618.1	5444	5704	261	Marburgvirus	Marburg-marburgvirus	-	glycoprotein[Marburg-marburgvirus(-)]
Leptosomus_discolor	bgi_2011-10-28	Leptosomus_discolor.scaf.noBacterial.fa	Scaffold28600	315	596	282	Marburgvirus	Marburg-marburgvirus	-	glycoprotein[Marburg-marburgvirus(-)]
Leptosomus_discolor	bgi_2011-10-28	Leptosomus_discolor.scaf.noBacterial.fa	scaffold3160	28886	29152	267	Marburgvirus	Marburg-marburgvirus	-	glycoprotein[Marburg-marburgvirus(-)]
Monodelphis_domestica	goldenpath_monDom5	chr3.fa	chr3	99732173	99735253	3081	Ebolavirus	Sudan-ebolavirus	-	L[Marburg-marburgvirus(-)]-RNA-dependent-RNA-polymerase[Lloviu-cuevavirus(-)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00044	2489279	2489812	534	Ebolavirus	Reston-ebolavirus	+	L[Reston-ebolavirus(+)]
Cricetulus_griseus	CHO-K1-v1	CHO-K1-v1.scaffolds.fasta	gi|351517679|ref|NW_003613870.1|	628441	628928	488	Ebolavirus	Reston-ebolavirus	+	L[Reston-ebolavirus(+)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	AMDS01197099	1856	2197	342	Ebolavirus	Reston-ebolavirus	+	L[Reston-ebolavirus(+)]
Phodopus_sungorus	Psun0.5	GCA_001707965.1_Psun0.5_genomic.fna	MCBN011428430.1	2981	3594	614	Ebolavirus	Sudan-ebolavirus	+	L[Reston-ebolavirus(+)]-VP35[Sudan-ebolavirus(+)]
Mesocricetus_auratus	broad_1.1_april_2013	Mesocricetus_unplaced.scaf.fa_17.fa	gi|472278400|gb|KB708193.1|	3324650	3325141	492	Ebolavirus	Reston-ebolavirus	-	L[Reston-ebolavirus(-)]
Microtus_agrestis	ASM130599v1	GCA_001305995.1_ASM130599v1_genomic.fna	LIQJ01002402.1	524071	524334	264	Ebolavirus	Reston-ebolavirus	-	L[Reston-ebolavirus(-)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL160078	12	221	210	Ebolavirus	Reston-ebolavirus	-	L[Reston-ebolavirus(-)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00148	1822604	1823380	777	Ebolavirus	Reston-ebolavirus	-	L[Reston-ebolavirus(-)]-VP35[Lloviu-cuevavirus(-)]
Neotoma_lepida	ASM167557v1	GCA_001675575.1_ASM167557v1_genomic.fna	LZPO01076085.1	36391	37087	697	Ebolavirus	Reston-ebolavirus	-	L[Reston-ebolavirus(-)]-VP35[Tai-Forest-ebolavirus(-)]
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01139440.1	2286	2489	204	Marburgvirus	Marburg-marburgvirus	+	minor-nucleoprotein[Marburg-marburgvirus(+)]
Microtus_agrestis	ASM130599v1	GCA_001305995.1_ASM130599v1_genomic.fna	LIQJ01229694.1	581	1138	558	Marburgvirus	Marburg-marburgvirus	+	minor-nucleoprotein[Marburg-marburgvirus(+)]
Microtus_agrestis	ASM130599v1	GCA_001305995.1_ASM130599v1_genomic.fna	LIQJ01001405.1	1235078	1235347	270	Marburgvirus	Marburg-marburgvirus	-	minor-nucleoprotein[Marburg-marburgvirus(-)]
Microtus_ochrogaster	broad_1.0_april_2013	chrLG2.fa	gi|428755099|gb|CM001691.1|	46004640	46004930	291	Marburgvirus	Marburg-marburgvirus	-	minor-nucleoprotein[Marburg-marburgvirus(-)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	KE377977	505781	506338	558	Ebolavirus	Zaire-ebolavirus	+	minor-nucleoprotein[Zaire-ebolavirus(+)]
Cricetulus_griseus	CHO-K1-v1	CHO-K1-v1.scaffolds.fasta	gi|351505094|ref|NW_003626450.1|	521	1102	582	Ebolavirus	Zaire-ebolavirus	+	minor-nucleoprotein[Zaire-ebolavirus(+)]
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01021770.1	14553	15258	706	Ebolavirus	Bundibugyo-virus	+	nucleoprotein[Bundibugyo-virus(+)]
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01047383.1	8266	9220	955	Ebolavirus	Bundibugyo-virus	+	nucleoprotein[Bundibugyo-virus(+)]
Sorex_araneus	goldenpath_sorAra2	sorAra2.fa	JH798212	4431668	4432201	534	Ebolavirus	Bundibugyo-virus	+	nucleoprotein[Bundibugyo-virus(+)]
Microtus_ochrogaster	broad_1.0_april_2013	chr2.fa	gi|428755270|gb|CM001673.1|	27471226	27471938	713	Ebolavirus	Bundibugyo-virus	+	nucleoprotein[Bundibugyo-virus(+)]
Microtus_agrestis	ASM130599v1	GCA_001305995.1_ASM130599v1_genomic.fna	LIQJ01002379.1	687314	688098	785	Ebolavirus	Bundibugyo-virus	+	nucleoprotein[Bundibugyo-virus(+)]
Microtus_ochrogaster	broad_1.0_april_2013	chr18.fa	gi|428755189|gb|CM001683.1|	52306521	52307090	570	Ebolavirus	Bundibugyo-virus	+	nucleoprotein[Bundibugyo-virus(+)]
Peromyscus_maniculatus_bairdii	1	230844_ref_Pman_1.0_chrUn.fa	gi|586828672|ref|NW_006501764.1|	452686	453671	986	Ebolavirus	Bundibugyo-virus	+	nucleoprotein[Bundibugyo-virus(+)]
