sequenceID	distribution	locus_numeric_id	num_species	num_dupes	age	age-ci	genus
efln-filo.1-bathyergidae-con	Bathyergidae	1	2	2	34	28-40	NK
efln-filo.3-dipodidae-con	Dipodidae (descendant unranked)	3	2	1	34	28-39	NK
efln-filo.4-cricetidae-con	Cricetidae	4	10	3	31	18-48	NK
efln-filo.6-ctenomys	Ctenomys	6	1	1	NK	NK	NK
efln-filo.7-acomys-con	Acomys	7	1	2	NK	NK	NK
efln-filo.8-dipodomys-con	Dipodomys	8	1	2	NK	NK	NK
efln-filo.9-spalacidae-con	Spalacidae (descendant unranked)	9	2	5	33	22-44	NK
efln-filo.10-neotominae-con	Neotominae	10	1	5	NK	NK	NK
efln-filo.21-vespertilionidae-con	Vespertilionidae (descendant unranked)	21	7	3	31	27-36	NK
efln-filo.31-soricidae-con	Soricidae	31	1	2	NK	NK	NK
efln-filo.41-vermilingua-con	Myrmecophagidae	41	2	1	13.1	10.1-16	NK
efln-filo.61-diprotodontia-con	Diprotodontia (descendant unranked)	61	3	13	35	31-40	NK
eflp-filo.2-cricetidae-con	Cricetidae	2	11	7	31	18-48	NK
eflp-filo.3-muridae-con	Muridae	3	9	3	28.6	23.1-34.0	NK
eflp-filo.5-tarsiidae	Tarsiidae	5	1	1	NK	NK	NK
eflp-filo.6-myotis-con	Myotis	6	4	1	20.8	10.8-32.8	NK
eflp-filo.7-macropodidae	Macropodidae	7	1	2	NK	NK	NK
eflp-filo.8-phascolarctos-con	Phascolarctos	8	1	4	NK	NK	NK
eflh-filo.1-cricetidae-con	Cricetidae	1	5	1	31	18-48	NK
