sequenceID	assigned_gene	organism	scaffold	start	end	length	orientation	assigned_name	subject_start	subject_end	integration	duplicate
N_7_1_Acomys_cahirinus	N	Acomys_cahirinus	PVKX01007375.1	13967	14761	795	positive	Sudan-ebolavirus	153	413	7	1
N_7_2_Acomys_cahirinus	N	Acomys_cahirinus	PVKX01019144.1	22424	22986	563	positive	Sudan-ebolavirus	155	280	7	2
N_7_3_Acomys_cahirinus	N	Acomys_cahirinus	PVKX01024104.1	12959	13838	880	positive	Reston-ebolavirus	97	280	7	3
N_4_7_Cricetulus_griseus	N	Cricetulus_griseus	gi|351517241|ref|NW_003614308.1|	49065	49728	664	positive	Sudan-ebolavirus	151	290	4	7
N_4_8_Cricetulus_griseus	N	Cricetulus_griseus	gi|351517787|ref|NW_003613762.1|	587367	588126	760	positive	Zaire-ebolavirus	255	401	4	8
N_4_9_Cricetulus_griseus	N	Cricetulus_griseus	gi|351517880|ref|NW_003613669.1|	2285	3467	1183	positive	Zaire-ebolavirus	107	245	4	9
N_6_13_Ctenomys_sociabilis	N	Ctenomys_sociabilis	PVKB01001897.1	338920	339525	606	negative	Zaire-ebolavirus	160	347	6	13
N_3_14_Dipodomys_stephensi	N	Dipodomys_stephensi	PVHN010030180.1	3986	4684	699	negative	Reston-ebolavirus	150	390	3	14
N_3_15_Dipodomys_stephensi	N	Dipodomys_stephensi	PVHN010033176.1	16383	16679	297	negative	Marburg-marburgvirus	250	338	3	15
N_2_16_Dolichotis_patagonum	N	Dolichotis_patagonum	PVJX010017634.1	25569	25889	321	negative	Reston-ebolavirus	226	331	2	16
N_4_17_Ellobius_lutescens	N	Ellobius_lutescens	LOEQ01000940.1	96836	97758	923	positive	Marburg-marburgvirus	110	285	4	17
N_4_18_Ellobius_lutescens	N	Ellobius_lutescens	LOEQ01001587.1	251142	251846	705	positive	Lloviu-cuevavirus	186	332	4	18
N_4_19_Ellobius_lutescens	N	Ellobius_lutescens	LOEQ01006326.1	51650	52246	597	negative	Sudan-ebolavirus	139	340	4	19
N_4_20_Ellobius_lutescens	N	Ellobius_lutescens	LOEQ01011337.1	14962	15621	660	positive	Tai-Forest-ebolavirus	133	389	4	20
N_4_21_Ellobius_lutescens	N	Ellobius_lutescens	LOEQ01027844.1	2146	2850	705	negative	Lloviu-cuevavirus	186	332	4	21
N_4_22_Ellobius_talpinus	N	Ellobius_talpinus	LOJH01006146.1	31482	32437	956	negative	Bundibugyo-virus	211	320	4	22
N_4_23_Ellobius_talpinus	N	Ellobius_talpinus	LOJH01021770.1	14553	15258	706	positive	Bundibugyo-virus	313	413	4	23
N_4_24_Ellobius_talpinus	N	Ellobius_talpinus	LOJH01028664.1	13162	13461	300	negative	Sudan-ebolavirus	150	251	4	24
N_4_25_Ellobius_talpinus	N	Ellobius_talpinus	LOJH01047383.1	8266	9220	955	positive	Bundibugyo-virus	180	268	4	25
N_4_26_Ellobius_talpinus	N	Ellobius_talpinus	LOJH01197867.1	1034	1591	558	negative	Zaire-ebolavirus	156	340	4	26
N_21_27_Eptesicus_fuscus	N	Eptesicus_fuscus	gi|411115806|gb|JH977757.1|	906267	908274	2008	positive	Marburg-marburgvirus	244	361	21	27
N_21_28_Eptesicus_fuscus	N	Eptesicus_fuscus	gi|411115931|gb|JH977632.1|	8636741	8637088	348	positive	Marburg-marburgvirus	230	337	21	28
N_1_29_Fukomys_damarensis	N	Fukomys_damarensis	gi|730050000|ref|NW_011048078.1|	6352594	6352953	360	positive	Lloviu-cuevavirus	228	356	1	29
N_1_30_Heterocephalus_glaber	N	Heterocephalus_glaber	JH602047	14192337	14192723	387	negative	Sudan-ebolavirus	263	390	1	30
N_1_31_Heterocephalus_glaber	N	Heterocephalus_glaber	JH602060	18507010	18507102	93	negative	Zaire-ebolavirus	295	325	1	31
N_8_32_Jaculus_jaculus	N	Jaculus_jaculus	contig025683	8164	9018	855	positive	Reston-ebolavirus	148	421	8	32
N_21_33_Lasiurus_borealis	N	Lasiurus_borealis	PVJN01000748.1	104574	104891	318	positive	Zaire-ebolavirus	262	351	21	33
N_21_34_Lasiurus_borealis	N	Lasiurus_borealis	PVJN01001708.1	96768	97055	288	negative	Marburg-marburgvirus	256	345	21	34
N_61_35_Macropus_eugenii	N	Macropus_eugenii	ABQO010766573	360	1038	679	positive	Tai-Forest-ebolavirus	231	385	61	35
N_61_36_Macropus_eugenii	N	Macropus_eugenii	GL064893	26005	26382	378	positive	Sudan-ebolavirus	258	389	61	36
N_61_37_Macropus_eugenii	N	Macropus_eugenii	GL068167	20887	21294	408	negative	Sudan-ebolavirus	250	384	61	37
N_61_38_Macropus_eugenii	N	Macropus_eugenii	GL082218	8286	8456	171	negative	Bundibugyo-virus	181	237	61	38
N_61_39_Macropus_eugenii	N	Macropus_eugenii	GL091604	8124	8934	811	positive	Reston-ebolavirus	71	248	61	39
N_61_40_Macropus_eugenii	N	Macropus_eugenii	GL103733	32743	32952	210	negative	Marburg-marburgvirus	274	336	61	40
